max_s11 min_s11 max_s22 min_s22 max_s12 min_s12 max_e11 min_e11 max_e22 min_e22 max_e12 min_e12
1.062401580810546875e+02 9.700520324707031250e+01 1.052949523925781250e+02 9.690802001953125000e+01 3.833474636077880859e+00 -3.789951801300048828e+00 1.062401580810546875e+02 9.700520324707031250e+01 1.052949523925781250e+02 9.690802001953125000e+01 3.833474636077880859e+00 -3.789951801300048828e+00
1.104931945800781250e+02 9.591699218750000000e+01 1.065715866088867188e+02 9.586192321777343750e+01 4.802186012268066406e+00 -4.682737827301025391e+00 1.104931945800781250e+02 9.591699218750000000e+01 1.065715866088867188e+02 9.586192321777343750e+01 4.802186012268066406e+00 -4.682737827301025391e+00
1.086631851196289062e+02 9.565025329589843750e+01 1.104623184204101562e+02 9.585199737548828125e+01 3.128874540328979492e+00 -3.507412433624267578e+00 1.086631851196289062e+02 9.565025329589843750e+01 1.104623184204101562e+02 9.585199737548828125e+01 3.128874540328979492e+00 -3.507412433624267578e+00
1.094036026000976562e+02 9.645561218261718750e+01 1.062506256103515625e+02 9.682942199707031250e+01 3.971859216690063477e+00 -3.590017318725585938e+00 1.094036026000976562e+02 9.645561218261718750e+01 1.062506256103515625e+02 9.682942199707031250e+01 3.971859216690063477e+00 -3.590017318725585938e+00
1.053298568725585938e+02 9.667573547363281250e+01 1.036746444702148438e+02 9.658880615234375000e+01 3.153681993484497070e+00 -2.901590108871459961e+00 1.053298568725585938e+02 9.667573547363281250e+01 1.036746444702148438e+02 9.658880615234375000e+01 3.153681993484497070e+00 -2.901590108871459961e+00
1.071594924926757812e+02 9.600924682617187500e+01 1.153910140991210938e+02 9.625558471679687500e+01 4.630480766296386719e+00 -5.815562248229980469e+00 1.071594924926757812e+02 9.600924682617187500e+01 1.153910140991210938e+02 9.625558471679687500e+01 4.630480766296386719e+00 -5.815562248229980469e+00
1.121815032958984375e+02 9.603488159179687500e+01 1.148661117553710938e+02 9.591954803466796875e+01 6.115166187286376953e+00 -6.607325077056884766e+00 1.121815032958984375e+02 9.603488159179687500e+01 1.148661117553710938e+02 9.591954803466796875e+01 6.115166187286376953e+00 -6.607325077056884766e+00
1.045159072875976562e+02 9.631304931640625000e+01 1.090309982299804688e+02 9.636278533935546875e+01 3.737956047058105469e+00 -3.109802484512329102e+00 1.045159072875976562e+02 9.631304931640625000e+01 1.090309982299804688e+02 9.636278533935546875e+01 3.737956047058105469e+00 -3.109802484512329102e+00
1.114991912841796875e+02 9.674203491210937500e+01 1.101829528808593750e+02 9.679013824462890625e+01 3.254539012908935547e+00 -4.030776023864746094e+00 1.114991912841796875e+02 9.674203491210937500e+01 1.101829528808593750e+02 9.679013824462890625e+01 3.254539012908935547e+00 -4.030776023864746094e+00
1.066540298461914062e+02 9.665411376953125000e+01 1.064156341552734375e+02 9.671844482421875000e+01 3.558856964111328125e+00 -3.077739715576171875e+00 1.066540298461914062e+02 9.665411376953125000e+01 1.064156341552734375e+02 9.671844482421875000e+01 3.558856964111328125e+00 -3.077739715576171875e+00
1.037895812988281250e+02 9.701983642578125000e+01 1.066818771362304688e+02 9.683174133300781250e+01 2.858222007751464844e+00 -2.962510108947753906e+00 1.037895812988281250e+02 9.701983642578125000e+01 1.066818771362304688e+02 9.683174133300781250e+01 2.858222007751464844e+00 -2.962510108947753906e+00
1.093177947998046875e+02 9.603123474121093750e+01 1.085380401611328125e+02 9.608964538574218750e+01 5.410047054290771484e+00 -3.519970893859863281e+00 1.093177947998046875e+02 9.603123474121093750e+01 1.085380401611328125e+02 9.608964538574218750e+01 5.410047054290771484e+00 -3.519970893859863281e+00
1.121490402221679688e+02 9.645510864257812500e+01 1.051215286254882812e+02 9.697713470458984375e+01 3.542840242385864258e+00 -2.752485036849975586e+00 1.121490402221679688e+02 9.645510864257812500e+01 1.051215286254882812e+02 9.697713470458984375e+01 3.542840242385864258e+00 -2.752485036849975586e+00
1.070205764770507812e+02 9.663039398193359375e+01 1.098180618286132812e+02 9.691232299804687500e+01 2.771178483963012695e+00 -4.215983867645263672e+00 1.070205764770507812e+02 9.663039398193359375e+01 1.098180618286132812e+02 9.691232299804687500e+01 2.771178483963012695e+00 -4.215983867645263672e+00
1.110867691040039062e+02 9.585275268554687500e+01 1.064968261718750000e+02 9.615539550781250000e+01 4.012442588806152344e+00 -4.786670207977294922e+00 1.110867691040039062e+02 9.585275268554687500e+01 1.064968261718750000e+02 9.615539550781250000e+01 4.012442588806152344e+00 -4.786670207977294922e+00
1.037915649414062500e+02 9.718221282958984375e+01 1.114393692016601562e+02 9.686113739013671875e+01 3.223173856735229492e+00 -3.320437908172607422e+00 1.037915649414062500e+02 9.718221282958984375e+01 1.114393692016601562e+02 9.686113739013671875e+01 3.223173856735229492e+00 -3.320437908172607422e+00
1.078936996459960938e+02 9.619218444824218750e+01 1.116451416015625000e+02 9.641180419921875000e+01 5.540196418762207031e+00 -3.422961711883544922e+00 1.078936996459960938e+02 9.619218444824218750e+01 1.116451416015625000e+02 9.641180419921875000e+01 5.540196418762207031e+00 -3.422961711883544922e+00
1.109303817749023438e+02 9.591500091552734375e+01 1.095371475219726562e+02 9.632266998291015625e+01 6.262550830841064453e+00 -2.866046428680419922e+00 1.109303817749023438e+02 9.591500091552734375e+01 1.095371475219726562e+02 9.632266998291015625e+01 6.262550830841064453e+00 -2.866046428680419922e+00
1.088300857543945312e+02 9.622656250000000000e+01 1.080226593017578125e+02 9.701188659667968750e+01 2.720217943191528320e+00 -5.113032817840576172e+00 1.088300857543945312e+02 9.622656250000000000e+01 1.080226593017578125e+02 9.701188659667968750e+01 2.720217943191528320e+00 -5.113032817840576172e+00
1.048559494018554688e+02 9.625454711914062500e+01 1.052364959716796875e+02 9.638055419921875000e+01 4.036191940307617188e+00 -3.533089399337768555e+00 1.048559494018554688e+02 9.625454711914062500e+01 1.052364959716796875e+02 9.638055419921875000e+01 4.036191940307617188e+00 -3.533089399337768555e+00
1.050283355712890625e+02 9.709856414794921875e+01 1.033057098388671875e+02 9.728059387207031250e+01 2.893280267715454102e+00 -2.618681669235229492e+00 1.050283355712890625e+02 9.709856414794921875e+01 1.033057098388671875e+02 9.728059387207031250e+01 2.893280267715454102e+00 -2.618681669235229492e+00
1.047809066772460938e+02 9.696250152587890625e+01 1.068273620605468750e+02 9.657775115966796875e+01 2.954833269119262695e+00 -2.876773118972778320e+00 1.047809066772460938e+02 9.696250152587890625e+01 1.068273620605468750e+02 9.657775115966796875e+01 2.954833269119262695e+00 -2.876773118972778320e+00
1.114732513427734375e+02 9.660269927978515625e+01 1.072956771850585938e+02 9.682679748535156250e+01 2.844364404678344727e+00 -5.043872833251953125e+00 1.114732513427734375e+02 9.660269927978515625e+01 1.072956771850585938e+02 9.682679748535156250e+01 2.844364404678344727e+00 -5.043872833251953125e+00
1.163107986450195312e+02 9.567082977294921875e+01 1.130523300170898438e+02 9.582926940917968750e+01 8.488995552062988281e+00 -3.334753751754760742e+00 1.163107986450195312e+02 9.567082977294921875e+01 1.130523300170898438e+02 9.582926940917968750e+01 8.488995552062988281e+00 -3.334753751754760742e+00
1.074316482543945312e+02 9.683370208740234375e+01 1.057304763793945312e+02 9.680319213867187500e+01 5.096332073211669922e+00 -3.987971544265747070e+00 1.074316482543945312e+02 9.683370208740234375e+01 1.057304763793945312e+02 9.680319213867187500e+01 5.096332073211669922e+00 -3.987971544265747070e+00
1.071704025268554688e+02 9.692008209228515625e+01 1.062433395385742188e+02 9.677616882324218750e+01 4.277126789093017578e+00 -4.399759292602539062e+00 1.071704025268554688e+02 9.692008209228515625e+01 1.062433395385742188e+02 9.677616882324218750e+01 4.277126789093017578e+00 -4.399759292602539062e+00
1.076671829223632812e+02 9.652211761474609375e+01 1.088570251464843750e+02 9.679331207275390625e+01 5.272175312042236328e+00 -3.137998104095458984e+00 1.076671829223632812e+02 9.652211761474609375e+01 1.088570251464843750e+02 9.679331207275390625e+01 5.272175312042236328e+00 -3.137998104095458984e+00
1.041184844970703125e+02 9.732958984375000000e+01 1.038693771362304688e+02 9.738175964355468750e+01 2.549396514892578125e+00 -3.069312810897827148e+00 1.041184844970703125e+02 9.732958984375000000e+01 1.038693771362304688e+02 9.738175964355468750e+01 2.549396514892578125e+00 -3.069312810897827148e+00
1.057904052734375000e+02 9.661968231201171875e+01 1.080755386352539062e+02 9.625264739990234375e+01 5.233366489410400391e+00 -3.693379163742065430e+00 1.057904052734375000e+02 9.661968231201171875e+01 1.080755386352539062e+02 9.625264739990234375e+01 5.233366489410400391e+00 -3.693379163742065430e+00
1.044554367065429688e+02 9.677451324462890625e+01 1.040353546142578125e+02 9.686283874511718750e+01 3.045541048049926758e+00 -3.226028680801391602e+00 1.044554367065429688e+02 9.677451324462890625e+01 1.040353546142578125e+02 9.686283874511718750e+01 3.045541048049926758e+00 -3.226028680801391602e+00
1.059656524658203125e+02 9.713102722167968750e+01 1.033702392578125000e+02 9.743135833740234375e+01 2.540617465972900391e+00 -2.680417060852050781e+00 1.059656524658203125e+02 9.713102722167968750e+01 1.033702392578125000e+02 9.743135833740234375e+01 2.540617465972900391e+00 -2.680417060852050781e+00
1.048722991943359375e+02 9.672518920898437500e+01 1.051977310180664062e+02 9.681849670410156250e+01 2.974601984024047852e+00 -4.460262298583984375e+00 1.048722991943359375e+02 9.672518920898437500e+01 1.051977310180664062e+02 9.681849670410156250e+01 2.974601984024047852e+00 -4.460262298583984375e+00
1.155154876708984375e+02 9.489141845703125000e+01 1.115445175170898438e+02 9.544652557373046875e+01 4.198375225067138672e+00 -5.286377429962158203e+00 1.155154876708984375e+02 9.489141845703125000e+01 1.115445175170898438e+02 9.544652557373046875e+01 4.198375225067138672e+00 -5.286377429962158203e+00
1.056381225585937500e+02 9.688105010986328125e+01 1.143995513916015625e+02 9.612221527099609375e+01 4.864115238189697266e+00 -3.673325061798095703e+00 1.056381225585937500e+02 9.688105010986328125e+01 1.143995513916015625e+02 9.612221527099609375e+01 4.864115238189697266e+00 -3.673325061798095703e+00
1.062180938720703125e+02 9.583065032958984375e+01 1.094177474975585938e+02 9.615900421142578125e+01 4.631034374237060547e+00 -4.940972805023193359e+00 1.062180938720703125e+02 9.583065032958984375e+01 1.094177474975585938e+02 9.615900421142578125e+01 4.631034374237060547e+00 -4.940972805023193359e+00
1.127549896240234375e+02 9.593501281738281250e+01 1.064484100341796875e+02 9.512574005126953125e+01 5.230325698852539062e+00 -4.107005119323730469e+00 1.127549896240234375e+02 9.593501281738281250e+01 1.064484100341796875e+02 9.512574005126953125e+01 5.230325698852539062e+00 -4.107005119323730469e+00
1.109125595092773438e+02 9.573217773437500000e+01 1.099001693725585938e+02 9.611164093017578125e+01 3.199162960052490234e+00 -6.022772312164306641e+00 1.109125595092773438e+02 9.573217773437500000e+01 1.099001693725585938e+02 9.611164093017578125e+01 3.199162960052490234e+00 -6.022772312164306641e+00
1.114698104858398438e+02 9.590585327148437500e+01 1.143547973632812500e+02 9.584844970703125000e+01 6.568494319915771484e+00 -7.136866092681884766e+00 1.114698104858398438e+02 9.590585327148437500e+01 1.143547973632812500e+02 9.584844970703125000e+01 6.568494319915771484e+00 -7.136866092681884766e+00
1.059029006958007812e+02 9.690740203857421875e+01 1.101742248535156250e+02 9.671520233154296875e+01 3.209751367568969727e+00 -3.605496406555175781e+00 1.059029006958007812e+02 9.690740203857421875e+01 1.101742248535156250e+02 9.671520233154296875e+01 3.209751367568969727e+00 -3.605496406555175781e+00
1.066071777343750000e+02 9.671823120117187500e+01 1.049343185424804688e+02 9.667234802246093750e+01 2.694671392440795898e+00 -4.732878684997558594e+00 1.066071777343750000e+02 9.671823120117187500e+01 1.049343185424804688e+02 9.667234802246093750e+01 2.694671392440795898e+00 -4.732878684997558594e+00
1.102755508422851562e+02 9.617603302001953125e+01 1.077573165893554688e+02 9.599288177490234375e+01 4.064044952392578125e+00 -3.184798002243041992e+00 1.102755508422851562e+02 9.617603302001953125e+01 1.077573165893554688e+02 9.599288177490234375e+01 4.064044952392578125e+00 -3.184798002243041992e+00
1.117309265136718750e+02 9.614246368408203125e+01 1.076078796386718750e+02 9.648809814453125000e+01 3.926610231399536133e+00 -3.081838369369506836e+00 1.117309265136718750e+02 9.614246368408203125e+01 1.076078796386718750e+02 9.648809814453125000e+01 3.926610231399536133e+00 -3.081838369369506836e+00
1.084184799194335938e+02 9.542304229736328125e+01 1.168372116088867188e+02 9.546628570556640625e+01 6.840929508209228516e+00 -7.639247417449951172e+00 1.084184799194335938e+02 9.542304229736328125e+01 1.168372116088867188e+02 9.546628570556640625e+01 6.840929508209228516e+00 -7.639247417449951172e+00
1.121446075439453125e+02 9.652049255371093750e+01 1.106591262817382812e+02 9.657054901123046875e+01 4.652590274810791016e+00 -3.719244241714477539e+00 1.121446075439453125e+02 9.652049255371093750e+01 1.106591262817382812e+02 9.657054901123046875e+01 4.652590274810791016e+00 -3.719244241714477539e+00
1.054266738891601562e+02 9.679667663574218750e+01 1.034189071655273438e+02 9.715204620361328125e+01 2.674628257751464844e+00 -2.679452657699584961e+00 1.054266738891601562e+02 9.679667663574218750e+01 1.034189071655273438e+02 9.715204620361328125e+01 2.674628257751464844e+00 -2.679452657699584961e+00
1.043292846679687500e+02 9.693587493896484375e+01 1.043114318847656250e+02 9.676697540283203125e+01 4.406638622283935547e+00 -3.634929180145263672e+00 1.043292846679687500e+02 9.693587493896484375e+01 1.043114318847656250e+02 9.676697540283203125e+01 4.406638622283935547e+00 -3.634929180145263672e+00
1.065029830932617188e+02 9.662856292724609375e+01 1.054710311889648438e+02 9.645839691162109375e+01 3.426869869232177734e+00 -4.204778671264648438e+00 1.065029830932617188e+02 9.662856292724609375e+01 1.054710311889648438e+02 9.645839691162109375e+01 3.426869869232177734e+00 -4.204778671264648438e+00
1.080647506713867188e+02 9.672017669677734375e+01 1.079725723266601562e+02 9.700719451904296875e+01 2.702042579650878906e+00 -5.011191844940185547e+00 1.080647506713867188e+02 9.672017669677734375e+01 1.079725723266601562e+02 9.700719451904296875e+01 2.702042579650878906e+00 -5.011191844940185547e+00
1.119935836791992188e+02 9.614929962158203125e+01 1.082886199951171875e+02 9.591361236572265625e+01 3.834826231002807617e+00 -5.204994201660156250e+00 1.119935836791992188e+02 9.614929962158203125e+01 1.082886199951171875e+02 9.591361236572265625e+01 3.834826231002807617e+00 -5.204994201660156250e+00
1.088904418945312500e+02 9.655460357666015625e+01 1.058444900512695312e+02 9.667143249511718750e+01 3.480577230453491211e+00 -3.032404184341430664e+00 1.088904418945312500e+02 9.655460357666015625e+01 1.058444900512695312e+02 9.667143249511718750e+01 3.480577230453491211e+00 -3.032404184341430664e+00
1.096904067993164062e+02 9.581929779052734375e+01 1.095014343261718750e+02 9.560283660888671875e+01 4.820003986358642578e+00 -5.248961448669433594e+00 1.096904067993164062e+02 9.581929779052734375e+01 1.095014343261718750e+02 9.560283660888671875e+01 4.820003986358642578e+00 -5.248961448669433594e+00
1.085766677856445312e+02 9.634894561767578125e+01 1.114078598022460938e+02 9.624425506591796875e+01 6.860120773315429688e+00 -2.937387228012084961e+00 1.085766677856445312e+02 9.634894561767578125e+01 1.114078598022460938e+02 9.624425506591796875e+01 6.860120773315429688e+00 -2.937387228012084961e+00
1.072500152587890625e+02 9.663286590576171875e+01 1.037709426879882812e+02 9.699377441406250000e+01 2.930140018463134766e+00 -3.442142724990844727e+00 1.072500152587890625e+02 9.663286590576171875e+01 1.037709426879882812e+02 9.699377441406250000e+01 2.930140018463134766e+00 -3.442142724990844727e+00
1.056123352050781250e+02 9.697457122802734375e+01 1.075243988037109375e+02 9.696645355224609375e+01 4.791692733764648438e+00 -2.995999574661254883e+00 1.056123352050781250e+02 9.697457122802734375e+01 1.075243988037109375e+02 9.696645355224609375e+01 4.791692733764648438e+00 -2.995999574661254883e+00
1.081317443847656250e+02 9.655111694335937500e+01 1.103224792480468750e+02 9.655091857910156250e+01 7.147790908813476562e+00 -4.667225360870361328e+00 1.081317443847656250e+02 9.655111694335937500e+01 1.103224792480468750e+02 9.655091857910156250e+01 7.147790908813476562e+00 -4.667225360870361328e+00
1.050111007690429688e+02 9.713947296142578125e+01 1.092164459228515625e+02 9.678741455078125000e+01 4.201080799102783203e+00 -3.030434608459472656e+00 1.050111007690429688e+02 9.713947296142578125e+01 1.092164459228515625e+02 9.678741455078125000e+01 4.201080799102783203e+00 -3.030434608459472656e+00
1.050265731811523438e+02 9.705343627929687500e+01 1.041277008056640625e+02 9.711844635009765625e+01 4.166792392730712891e+00 -3.242918252944946289e+00 1.050265731811523438e+02 9.705343627929687500e+01 1.041277008056640625e+02 9.711844635009765625e+01 4.166792392730712891e+00 -3.242918252944946289e+00
1.038763427734375000e+02 9.702943420410156250e+01 1.065316772460937500e+02 9.673471069335937500e+01 3.166010618209838867e+00 -2.932527065277099609e+00 1.038763427734375000e+02 9.702943420410156250e+01 1.065316772460937500e+02 9.673471069335937500e+01 3.166010618209838867e+00 -2.932527065277099609e+00
1.048349685668945312e+02 9.706158447265625000e+01 1.036208114624023438e+02 9.717219543457031250e+01 2.619854211807250977e+00 -3.055896282196044922e+00 1.048349685668945312e+02 9.706158447265625000e+01 1.036208114624023438e+02 9.717219543457031250e+01 2.619854211807250977e+00 -3.055896282196044922e+00
1.063800888061523438e+02 9.693443298339843750e+01 1.052240829467773438e+02 9.711849975585937500e+01 2.741711139678955078e+00 -2.636920928955078125e+00 1.063800888061523438e+02 9.693443298339843750e+01 1.052240829467773438e+02 9.711849975585937500e+01 2.741711139678955078e+00 -2.636920928955078125e+00
1.093114547729492188e+02 9.635308837890625000e+01 1.084624252319335938e+02 9.617648315429687500e+01 3.662037849426269531e+00 -5.868696212768554688e+00 1.093114547729492188e+02 9.635308837890625000e+01 1.084624252319335938e+02 9.617648315429687500e+01 3.662037849426269531e+00 -5.868696212768554688e+00
1.087449798583984375e+02 9.606268310546875000e+01 1.065799636840820312e+02 9.617686462402343750e+01 4.219632625579833984e+00 -4.109125137329101562e+00 1.087449798583984375e+02 9.606268310546875000e+01 1.065799636840820312e+02 9.617686462402343750e+01 4.219632625579833984e+00 -4.109125137329101562e+00
1.069344787597656250e+02 9.608061218261718750e+01 1.106625518798828125e+02 9.609960174560546875e+01 3.508713006973266602e+00 -4.464035511016845703e+00 1.069344787597656250e+02 9.608061218261718750e+01 1.106625518798828125e+02 9.609960174560546875e+01 3.508713006973266602e+00 -4.464035511016845703e+00
